"country","state","city","year","long","lat","genus","species_botanical_name","species_common_name","dbh","volume_m3","wood_den_factor_kgm3","dry_weight_kg","carbon_kg","co2_kg","ndvi_2015","ndvi_2016","ndvi_2017","ndvi_2018","ndvi_2019","ndvi_2020","ndvi_2021","ndvi_2022","ndvi_2023","geometry","unique_id"
"usa","texas","dallas",2022,-96.77114856,32.76212342,"carya","carya illinoinensis","hardy pecan",8.89,0.0441702716809165,600,26.5021630085499,13.2510815042749,48.6314691206891,0.484176427125931,0.589698433876038,0.431644350290298,0.593885362148285,0.607231318950653,0.584373295307159,0.522466540336609,0.577794015407562,0.563429117202759,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.7712010451836,32.76207631968929],[-96.77109473618624,32.76207631968929],[-96.77109473618624,32.762166291057916],[-96.7712010451836,32.762166291057916],[-96.7712010451836,32.76207631968929]]]}",12
"usa","texas","dallas",2022,-96.79079604,33.00744406,"quercus","quercus polymorpha","mexican white oak",2.54,0.00244332295968519,615,1.50264362020639,0.751321810103195,2.75735104307872,0.171413213014603,0.34525141119957,0.36576309800148,0.432976454496384,0.462756037712097,0.397392570972443,0.353070169687271,0.473059803247452,0.405982911586761,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.79084799154474,33.00739822324568],[-96.79074138784097,33.00739822324568],[-96.79074138784097,33.00748819461429],[-96.79084799154474,33.00748819461429],[-96.79084799154474,33.00739822324568]]]}",13
"usa","texas","dallas",2022,-96.80501846,32.91339055,"platanus","platanus occidentalis","sycamore",2.54,0.00244332295968519,460,1.12392856145519,0.561964280727593,2.06240891027027,0.430388689041138,0.532057106494904,0.507842063903809,0.467894613742828,0.584490716457367,0.538106262683868,0.559824764728546,0.540288388729095,0.495911210775375,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.80507246729105,32.91334686382639],[-96.80496597699538,32.91334686382639],[-96.80496597699538,32.91343683519501],[-96.80507246729105,32.91343683519501],[-96.80507246729105,32.91334686382639]]]}",14
"usa","texas","dallas",2022,-96.81724376,32.89492457,"fraxinus","fraxinus pennsylvanica","green ash",49.53,3.22571503688574,530,1709.62896954944,854.814484774721,3137.16915912323,0.494106084108353,0.602841258049011,0.525684952735901,0.541678130626678,0.62286102771759,0.598925709724426,0.544404625892639,0.588674545288086,0.570028841495514,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.81729485219442,32.894881726364076],[-96.8171883841022,32.894881726364076],[-96.8171883841022,32.8949716977327],[-96.81729485219442,32.8949716977327],[-96.81729485219442,32.894881726364076]]]}",15
"usa","texas","dallas",2022,-96.87832116,32.84987002,"fraxinus","fraxinus pennsylvanica","green ash",35.56,1.55298797431951,530,823.083626389342,411.541813194671,1510.35845442444,0.607523083686829,0.702115654945374,0.631329536437988,0.650674164295197,0.67749160528183,0.674250245094299,0.662506222724915,0.63289076089859,0.600852251052856,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.87837559142189,32.84982696932006],[-96.87826917742066,32.84982696932006],[-96.87826917742066,32.84991694068867],[-96.87837559142189,32.84991694068867],[-96.87837559142189,32.84982696932006]]]}",16
"usa","texas","dallas",2022,-96.86271728,32.81411655,"prunus","prunus mexicana","mexican plum",5.08,0.0121214599928885,720,8.72745119487976,4.36372559743988,16.0148729426044,0.359412044286728,0.560824751853943,0.453697830438614,0.462059915065765,0.5,0.488347470760345,0.425701886415482,0.455276370048523,0.482382148504257,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.86276871634716,32.81406943797247],[-96.86266234518915,32.81406943797247],[-96.86266234518915,32.81415940934109],[-96.86276871634716,32.81415940934109],[-96.86276871634716,32.81406943797247]]]}",18
"usa","texas","dallas",2022,-96.64127356,32.71639224,"quercus","quercus buckleyi","texas red oak",5.08,0.0121214599928885,450,5.45465699679985,2.72732849839992,10.0092955891277,0.634428918361664,0.688806116580963,0.63441801071167,0.70154857635498,0.684078991413116,0.728909134864807,0.690421104431152,0.692511975765228,0.721580803394318,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.64132524067506,32.7163482383862],[-96.64121898621588,32.7163482383862],[-96.64121898621588,32.71643820975483],[-96.64132524067506,32.71643820975483],[-96.64132524067506,32.7163482383862]]]}",19
"usa","texas","dallas",2022,-96.87837833,32.84949609,"fraxinus","fraxinus pennsylvanica","green ash",11.43,0.126997874203047,530,67.308873327615,33.6544366638075,123.511782556174,0.550958335399628,0.649018466472626,0.688254654407501,0.752927124500275,0.709141254425049,0.738924741744995,0.753642976284027,0.763647019863129,0.742509782314301,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.87843355951135,32.84945240483156],[-96.8783271459593,32.84945240483156],[-96.8783271459593,32.849542376200176],[-96.87843355951135,32.849542376200176],[-96.87843355951135,32.84945240483156]]]}",20
"usa","texas","dallas",2022,-96.87882612,32.8499125,"fraxinus","fraxinus pennsylvanica","green ash",39.37,1.94393335738137,530,1030.28467941213,515.142339706064,1890.57238672125,0.661325812339783,0.746803045272827,0.757473468780518,0.747834444046021,0.767662644386292,0.770186364650726,0.743851482868195,0.781056225299835,0.754187405109406,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.87887946986496,32.84986710122954],[-96.8787730558156,32.84986710122954],[-96.8787730558156,32.84995707259816],[-96.87887946986496,32.84995707259816],[-96.87887946986496,32.84986710122954]]]}",21
"usa","texas","dallas",2022,-96.86561074,32.8544635,"fraxinus","fraxinus pennsylvanica","green ash",40.64,2.08496288211667,530,1105.03032752184,552.515163760918,2027.73065100257,0.601613283157349,0.639180421829224,0.528578400611877,0.617788434028625,0.634674906730652,0.625686049461365,0.577658414840698,0.614025056362152,0.669847309589386,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.86566269706839,32.8544198434051],[-96.86555627755868,32.8544198434051],[-96.86555627755868,32.854509814773714],[-96.86566269706839,32.854509814773714],[-96.86566269706839,32.8544198434051]]]}",22
